Row,ID,Question,Evidence,Answer,Overall,Evidence support,Usefulness,Note
1,V33-HR-001,How is this page organized?,"topology: {""surface_type"":""sheet"",""publication_role"":""main_sheet"",""folder_titles"":[""Mexico"",""World War and public-information graphics"",""Advertisement""],""historical_node_ids"":[""HN009"",""HN010"",""HN011"",""HN014""],""movement_ids"":[]}","Based on these records, this archive view organizes source-linked records by topology, folders, surface type, and evidence fields.",,,,
2,V33-HR-002,How should I orient myself between Global / release gate expansion and Global / release gate expansion records in this archive?,"topology: {""surface_type"":""sheet"",""publication_role"":""main_sheet"",""folder_titles"":[""France"",""Travel and transport poster culture"",""Graphic design object record""],""historical_node_ids"":[""HN009"",""HN010"",""HN011"",""HN014""],""movement_ids"":[]} ; {""surface_type"":""sheet"",""publication_role"":""main_sheet"",""folder_titles"":[""Unresolved region"",""Modern typography and layout"",""Graphic design object record""],""historical_node_ids"":[""HN009"",""HN010"",""HN011"",""HN014""],""movement_ids"":[]}","Based on these records, the archive view is a comprehensive collection of visual and design records organized by geography and typography, managed by Wikimedia Commons and the Paganini archive. Specific rights states and image-state codes define its scope.",,,,
3,V33-HR-003,I am lost. What is the simplest next step from here?,"topology: {""surface_type"":""sheet"",""publication_role"":""main_sheet"",""folder_titles"":[""India"",""Midcentury modern graphic communication"",""Graphic design object record""],""historical_node_ids"":[""HN009"",""HN010"",""HN011"",""HN014""],""movement_ids"":[]} ; {""surface_type"":""sheet"",""publication_role"":""main_sheet"",""folder_titles"":[""Unresolved region"",""Modern typography and layout"",""Graphic design object record""],""historical_node_ids"":[""HN009"",""HN010"",""HN011"",""HN014""],""movement_ids"":[]}","Based on these records, the simplest next step is to access the unresolvable region folder.",,,,
4,V33-HR-004,I found SURF-GA1970R001; what is a simple next step?,"topology: {""surface_type"":""sheet"",""publication_role"":""main_sheet"",""folder_titles"":[""France"",""Midcentury modern graphic communication"",""Graphic design object record""],""historical_node_ids"":[""HN009"",""HN010"",""HN011"",""HN014""],""movement_ids"":[]}","Based on these records, this is a source-linked research archive for graphic design and visual communication records. It organizes records through folders/topology: France, Midcentury modern graphic communication, Graphic design object record, United States, Poster. Surface types in the packet: sheet. Publication roles in the packet: main_sheet, support_packet_appendix_text. Source families represented: Gallica / BnF APIs, Art Institute of Chicago API. Rights states represented: open_candidate, rights_review_required. Image-state codes represented: IMG03, IMG00.",,,,
5,V33-HR-005,I found SURF-CRG2026R0071; what is a simple next step?,"topology: {""surface_type"":""sheet"",""publication_role"":""main_sheet"",""folder_titles"":[""Unresolved region"",""Modern typography and layout"",""Graphic design object record""],""historical_node_ids"":[""HN009"",""HN010"",""HN011"",""HN014""],""movement_ids"":[]}","Based on these records, this is a source-linked research archive for graphic design and visual communication records. It organizes records through folders/topology: Unresolved region, Modern typography and layout, Graphic design object record, United States, Midcentury modern graphic communication, Poster, France. Surface types in the packet: sheet. Publication roles in the packet: main_sheet, support_packet_appendix_text. Source families represented: Wikimedia Commons file source / The Soviet Union 1977 CPA 4695 stamp (Birth centenary of Felix Dzerzhinsky, 'Iron Felix', Bolshevik revolutionary and official, led Cheka and OGPU). png / page 102829467, Art Institute of Chicago API, Gallica / Bn",,,,
6,V33-HR-006,Explain SURF-CRG2026R0274 using only source-linked evidence.,"record_id: SURF-CRG2026R0274
title: Sergey Filippov PSE Russia 2012.jpg
date_text: 1912
region: Global / release gate expansion
source: {""name"":""Wikimedia Commons file source / Sergey Filippov PSE Russia 2012.jpg / page 25675602"",""url"":""https://commons.wikimedia.org/wiki/File:Sergey_Filippov_PSE_Russia_2012.jpg"",""access_date"":""2026-06-06""}","Based on these records, Record 1 is the primary source.",,,,
7,V33-HR-007,Explain SURF-CGS2026R0328 using only source-linked evidence.,"record_id: SURF-CGS2026R0328
title: El restaurador de las leyes.jpg
date_text: 1840
region: Latin America / Argentina
source: {""name"":""Wikimedia Commons file source / El restaurador de las leyes.jpg / page 10603704"",""url"":""https://commons.wikimedia.org/wiki/File:El_restaurador_de_las_leyes.jpg"",""access_date"":""2026-06-06""}","Based on these records, Record 1 describes the restoration of laws in Latin America and Argentina.",,,,
8,V33-HR-008,Explain SURF-CGS2026R0030 using only source-linked evidence.,"record_id: SURF-CGS2026R0030
title: Stamp commemorating the centenary of the birth of José Manuel Estrada.jpg
date_text: 1842
region: Latin America / Argentina
source: {""name"":""Wikimedia Commons file source / Stamp commemorating the centenary of the birth of José Manuel Estrada.jpg / page 30060076"",""url"":""https://commons.wikimedia.org/wiki/File:Stamp_commemorating_the_centenary_of_the_birth_of_Jos%C3%A9_Manuel_Estrada.jpg"",""access_date"":""2026-06-06""}","Based on these records, Record 1 is the primary evidence.",,,,
9,V33-HR-009,Explain SURF-CGS2026R0031 using only source-linked evidence.,"record_id: SURF-CGS2026R0031
title: Facundo.jpg
date_text: 1845
region: Latin America / Argentina
source: {""name"":""Wikimedia Commons file source / Facundo.jpg / page 6629018"",""url"":""https://commons.wikimedia.org/wiki/File:Facundo.jpg"",""access_date"":""2026-06-06""}","Based on these records, Record 1 is located in Latin America/Argentina.",,,,
10,V33-HR-010,Explain SURF-CRG2026R0027 using only source-linked evidence.,"record_id: SURF-CRG2026R0027
title: HQ. FEAF, TOKYO-Col. John K. Arnold Jr. (right), Montgomery, Ala., is escorted by Col. Herbert R. Volin, Tokyo Air... - NARA - 542291.tif
date_text: 1863
region: East Asia / China
source: {""name"":""Wikimedia Commons file source / HQ. FEAF, TOKYO-Col. John K. Arnold Jr. (right), Montgomery, Ala., is escorted by Col. Herbert R. Volin, Tokyo Air... - NARA - 542291.tif / page 16525059"",""url"":""https://commons.wikimedia.org/wiki/File:HQ._FEAF,_TOKYO-Col._John_K._Arnold_Jr._(right),_Montgomery,_Ala.,_is_escorted_by_Col._Herbert_R._Volin,_Tokyo_Air..._-_NARA_-_542291.tif"",""access_date"":""2026-06-06""}","Based on these records, Record 1 is the primary evidence.",,,,
